action_rank,base_review_priority_rank,bill_id,public_law_number,policy_area,lifecycle_readiness_tier,review_score,high_priority_gaps,closed_review_gates,closed_review_gate_count,actionable_high_priority_gaps,actionable_gap_count,court_direct_review_status,court_direct_review_rows,court_direct_review_direct_rows,court_direct_review_not_direct_rows,court_direct_review_temporal_exclusions,next_actionable_upgrade_gate,next_actionable_upgrade_reason,next_source_family,next_source_command,action_packet,claim_boundary
1,1,117-hr-1437,117-229,Economics and Public Finance,tier_1_rich_lifecycle_review_candidate,46,bill_topic_public_opinion; codified_usc_lineage; direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law; complete_regulations_comments; unified_agenda_stage; implementation_outcomes_or_enforcement; full_bill_progression_census_overlap,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,2,bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; full_bill_progression_census_overlap; implementation_outcomes_or_enforcement; unified_agenda_stage,6,all_queued_court_overlaps_closed_without_direct_public_law_review,10,0,0,10,codified_usc_lineage,court direct-review tasks are closed or lower priority; authority text makes codified statutory lineage the next actionable gate,Statutory revision and law lineage,make build-law-revision-bill-linkage-raw,bill_id=117-hr-1437 | public_law=117-229 | base_rank=1 | closed_review_gates=direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law | next_actionable_gate=codified_usc_lineage,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
2,2,117-hr-5376,117-169,Economics and Public Finance,tier_1_rich_lifecycle_review_candidate,46,bill_topic_public_opinion; codified_usc_lineage; direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law; complete_regulations_comments; unified_agenda_stage; implementation_outcomes_or_enforcement; full_bill_progression_census_overlap,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,2,bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; full_bill_progression_census_overlap; implementation_outcomes_or_enforcement; unified_agenda_stage,6,all_queued_court_overlaps_closed_without_direct_public_law_review,6,0,0,6,codified_usc_lineage,court direct-review tasks are closed or lower priority; authority text makes codified statutory lineage the next actionable gate,Statutory revision and law lineage,make build-law-revision-bill-linkage-raw,bill_id=117-hr-5376 | public_law=117-169 | base_rank=2 | closed_review_gates=direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law | next_actionable_gate=codified_usc_lineage,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
3,3,117-hr-6833,117-180,Economics and Public Finance,tier_1_rich_lifecycle_review_candidate,46,bill_topic_public_opinion; codified_usc_lineage; direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law; complete_regulations_comments; unified_agenda_stage; implementation_outcomes_or_enforcement; full_bill_progression_census_overlap,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,2,bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; full_bill_progression_census_overlap; implementation_outcomes_or_enforcement; unified_agenda_stage,6,all_queued_court_overlaps_closed_without_direct_public_law_review,6,0,0,6,codified_usc_lineage,court direct-review tasks are closed or lower priority; authority text makes codified statutory lineage the next actionable gate,Statutory revision and law lineage,make build-law-revision-bill-linkage-raw,bill_id=117-hr-6833 | public_law=117-180 | base_rank=3 | closed_review_gates=direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law | next_actionable_gate=codified_usc_lineage,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
4,4,117-hr-7776,117-263,Armed Forces and National Security,tier_1_rich_lifecycle_review_candidate,46,bill_topic_public_opinion; codified_usc_lineage; direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law; complete_regulations_comments; unified_agenda_stage; implementation_outcomes_or_enforcement; full_bill_progression_census_overlap,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,2,bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; full_bill_progression_census_overlap; implementation_outcomes_or_enforcement; unified_agenda_stage,6,all_queued_court_overlaps_closed_without_direct_public_law_review,3,0,0,3,codified_usc_lineage,court direct-review tasks are closed or lower priority; authority text makes codified statutory lineage the next actionable gate,Statutory revision and law lineage,make build-law-revision-bill-linkage-raw,bill_id=117-hr-7776 | public_law=117-263 | base_rank=4 | closed_review_gates=direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law | next_actionable_gate=codified_usc_lineage,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
5,5,117-hr-7925,117-238,Armed Forces and National Security,tier_1_rich_lifecycle_review_candidate,43,bill_topic_public_opinion; bill_specific_campaign_finance_or_lobbying_to_bill; direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law; complete_regulations_comments; unified_agenda_stage; implementation_outcomes_or_enforcement; full_bill_progression_census_overlap,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,2,bill_specific_campaign_finance_or_lobbying_to_bill; bill_topic_public_opinion; complete_regulations_comments; full_bill_progression_census_overlap; implementation_outcomes_or_enforcement; unified_agenda_stage,6,all_queued_court_overlaps_closed_without_direct_public_law_review,3,0,0,3,complete_regulations_comments,"comment-portal metadata exists, so complete comment retrieval is the next rulemaking gate",Rulemaking implementation and enforcement,make build-rulemaking-comment-metadata-raw,bill_id=117-hr-7925 | public_law=117-238 | base_rank=5 | closed_review_gates=direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law | next_actionable_gate=complete_regulations_comments,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
6,6,117-hr-6604,117-297,Armed Forces and National Security,tier_2_implementation_chain_candidate,42,bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; unified_agenda_stage; implementation_outcomes_or_enforcement; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; full_bill_progression_census_overlap; implementation_outcomes_or_enforcement; unified_agenda_stage,6,no_queued_court_public_law_overlap,0,0,0,0,codified_usc_lineage,court direct-review tasks are closed or lower priority; authority text makes codified statutory lineage the next actionable gate,Statutory revision and law lineage,make build-law-revision-bill-linkage-raw,bill_id=117-hr-6604 | public_law=117-297 | base_rank=6 | closed_review_gates=none | next_actionable_gate=codified_usc_lineage,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
7,7,117-hr-7132,117-223,"Science, Technology, Communications",tier_1_rich_lifecycle_review_candidate,40,bill_topic_public_opinion; codified_usc_lineage; direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law; complete_regulations_comments; unified_agenda_stage; implementation_outcomes_or_enforcement; full_bill_progression_census_overlap,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,2,bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; full_bill_progression_census_overlap; implementation_outcomes_or_enforcement; unified_agenda_stage,6,all_queued_court_overlaps_closed_without_direct_public_law_review,1,0,0,1,codified_usc_lineage,court direct-review tasks are closed or lower priority; authority text makes codified statutory lineage the next actionable gate,Statutory revision and law lineage,make build-law-revision-bill-linkage-raw,bill_id=117-hr-7132 | public_law=117-223 | base_rank=7 | closed_review_gates=direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law | next_actionable_gate=codified_usc_lineage,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
8,9,117-s-3373,117-168,Armed Forces and National Security,tier_1_rich_lifecycle_review_candidate,39,bill_topic_public_opinion; codified_usc_lineage; direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law; complete_regulations_comments; unified_agenda_stage; implementation_outcomes_or_enforcement; full_bill_progression_census_overlap,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,2,bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; full_bill_progression_census_overlap; implementation_outcomes_or_enforcement; unified_agenda_stage,6,all_queued_court_overlaps_closed_without_direct_public_law_review,1,0,1,0,codified_usc_lineage,court direct-review tasks are closed or lower priority; authority text makes codified statutory lineage the next actionable gate,Statutory revision and law lineage,make build-law-revision-bill-linkage-raw,bill_id=117-s-3373 | public_law=117-168 | base_rank=9 | closed_review_gates=direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law | next_actionable_gate=codified_usc_lineage,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
9,8,117-hr-4346,117-167,"Science, Technology, Communications",tier_2_implementation_chain_candidate,39,bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; unified_agenda_stage; implementation_outcomes_or_enforcement; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; full_bill_progression_census_overlap; implementation_outcomes_or_enforcement; unified_agenda_stage,6,no_queued_court_public_law_overlap,0,0,0,0,codified_usc_lineage,court direct-review tasks are closed or lower priority; authority text makes codified statutory lineage the next actionable gate,Statutory revision and law lineage,make build-law-revision-bill-linkage-raw,bill_id=117-hr-4346 | public_law=117-167 | base_rank=8 | closed_review_gates=none | next_actionable_gate=codified_usc_lineage,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
10,10,117-hr-2472,117-269,Government Operations and Politics,tier_2_implementation_chain_candidate,37,bill_topic_public_opinion; direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law; unified_agenda_stage; implementation_outcomes_or_enforcement; full_bill_progression_census_overlap,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,2,bill_topic_public_opinion; full_bill_progression_census_overlap; implementation_outcomes_or_enforcement; unified_agenda_stage,4,all_queued_court_overlaps_closed_without_direct_public_law_review,2,0,0,2,bill_topic_public_opinion,"sponsor-district context exists, so the next gate is bill-topic support or affected-group evidence",District public opinion and affected groups,make build-district-public-opinion-policy-context-raw,bill_id=117-hr-2472 | public_law=117-269 | base_rank=10 | closed_review_gates=direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law | next_actionable_gate=bill_topic_public_opinion,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
